Date,Price,Open,High,Low,Vol.
Oct 25 2022,20082.70,19331.80,20406.90,19249.00,371.54K
Oct 24 2022,19331.50,19571.20,19588.60,19177.20,286.94K
Oct 23 2022,19571.20,19204.80,19680.90,19092.50,180.63K
Oct 22 2022,19204.80,19162.60,19249.90,19116.10,118.24K
Oct 21 2022,19162.60,19042.90,19245.50,18703.30,294.66K
Oct 20 2022,19042.90,19125.10,19334.50,18935.60,253.20K
Oct 19 2022,19123.90,19328.20,19358.60,19101.20,209.28K
Oct 18 2022,19328.20,19548.40,19692.90,19102.80,290.07K
Oct 17 2022,19548.20,19262.20,19663.50,19163.60,248.40K
Oct 16 2022,19261.90,19068.80,19411.90,19066.00,140.95K
Oct 15 2022,19068.70,19181.70,19218.70,19000.80,123.66K
Oct 14 2022,19181.80,19379.80,19933.90,19098.60,400.45K
Oct 13 2022,19379.80,19154.60,19494.40,18207.90,455.13K
Oct 12 2022,19154.80,19058.50,19212.60,19010.60,242.18K
Oct 11 2022,19059.10,19134.30,19261.30,18868.70,288.57K
Oct 10 2022,19134.60,19441.70,19520.70,19057.00,243.77K
Oct 09 2022,19441.00,19416.30,19552.10,19329.60,127.53K
Oct 08 2022,19415.00,19530.20,19612.20,19274.70,113.50K
Oct 07 2022,19531.30,19962.40,20051.40,19352.10,263.50K
Oct 06 2022,19956.70,20157.50,20436.70,19873.70,370.60K
Oct 05 2022,20157.50,20340.50,20353.80,19761.70,352.76K
Oct 04 2022,20340.20,19629.70,20436.10,19506.40,368.17K
Oct 03 2022,19628.30,19057.60,19676.00,19001.30,333.03K
Oct 02 2022,19052.20,19311.90,19389.90,18937.30,222.82K
Oct 01 2022,19311.90,19422.90,19480.30,19172.60,173.91K
Sep 30 2022,19423.00,19593.40,20174.90,19208.90,490.29K
Sep 29 2022,19593.00,19420.20,19631.50,18877.90,449.57K
Sep 28 2022,19411.00,19083.40,19757.80,18505.30,581.19K
Sep 27 2022,19081.00,19228.80,20361.20,18850.40,660.12K
Sep 26 2022,19225.70,18803.10,19304.80,18695.20,516.03K
Sep 25 2022,18803.20,18925.10,19125.10,18659.60,209.71K
Sep 24 2022,18925.20,19288.40,19310.60,18812.00,258.50K
Sep 23 2022,19293.50,19404.10,19477.30,18554.80,431.15K
Sep 22 2022,19404.00,18488.10,19490.90,18371.00,448.63K
Sep 21 2022,18489.00,18875.10,19758.40,18191.80,446.85K
Sep 20 2022,18872.40,19538.90,19626.30,18742.60,361.18K
Sep 19 2022,19538.90,19417.40,19666.60,18277.80,423.43K
Sep 18 2022,19418.80,20113.90,20113.90,19347.70,273.11K
Sep 17 2022,20113.50,19802.80,20178.60,19761.00,204.58K
Sep 16 2022,19802.40,19701.90,19883.00,19352.90,315.59K
Sep 15 2022,19701.70,20222.30,20321.40,19532.30,358.42K
Sep 14 2022,20222.50,20175.50,20503.70,19654.20,374.22K
Sep 13 2022,20175.50,22395.30,22702.50,19909.60,485.32K
Sep 12 2022,22395.30,21836.60,22465.40,21581.60,431.98K
Sep 11 2022,21834.90,21650.40,21836.40,21363.00,297.12K
Sep 10 2022,21650.40,21363.80,21790.60,21139.90,331.12K
Sep 09 2022,21365.20,19318.80,21545.70,19294.10,480.37K
Sep 08 2022,19317.40,19281.50,19444.70,19034.50,291.43K
Sep 07 2022,19281.50,18786.30,19445.90,18548.40,319.10K
Sep 06 2022,18786.40,19793.40,20169.30,18723.30,402.43K
Sep 05 2022,19793.10,19999.90,20042.90,19650.70,238.71K
Sep 04 2022,19999.90,19832.20,20017.80,19594.70,158.27K
Sep 03 2022,19831.40,19952.80,20043.80,19660.70,157.85K
Sep 02 2022,19952.70,20131.60,20428.20,19764.70,272.22K
Sep 01 2022,20126.10,20049.90,20202.70,19584.40,275.08K
Aug 31 2022,20043.90,19793.40,20469.10,19793.40,318.17K
Aug 30 2022,19792.60,20295.60,20558.20,19559.70,308.41K
Aug 29 2022,20295.80,19551.30,20394.50,19551.20,248.04K
Aug 28 2022,19550.20,20034.20,20150.80,19542.90,159.60K
Aug 27 2022,20033.90,20249.90,20343.60,19849.80,187.34K
Aug 26 2022,20249.90,21564.20,21815.30,20122.40,322.16K
Aug 25 2022,21565.40,21365.40,21801.20,21324.80,190.15K
Aug 24 2022,21365.20,21516.20,21832.30,21171.10,202.40K
Aug 23 2022,21517.20,21416.50,21661.00,20919.60,228.65K
Aug 22 2022,21416.30,21516.80,21517.40,20912.10,251.83K
Aug 21 2022,21517.20,21138.90,21692.40,21077.40,177.52K
Aug 20 2022,21138.90,20830.70,21357.40,20784.80,206.94K
Aug 19 2022,20831.30,23201.60,23202.30,20807.80,339.47K
Aug 18 2022,23203.60,23337.70,23578.00,23131.30,160.97K
Aug 17 2022,23338.00,23855.80,24423.50,23191.60,239.53K
Aug 16 2022,23856.80,24102.60,24240.80,23693.80,201.70K
Aug 15 2022,24101.70,24303.30,25205.70,23784.50,279.28K
Aug 14 2022,24302.80,24442.10,24997.30,24172.20,177.25K
Aug 13 2022,24442.50,24398.90,24882.90,24318.70,170.59K
Aug 12 2022,24398.70,23935.30,24440.80,23616.40,194.96K
Aug 11 2022,23935.30,23963.30,24873.50,23864.00,285.36K
Aug 10 2022,23962.90,23150.30,24209.90,22714.70,243.61K
Aug 09 2022,23146.70,23818.10,23912.00,22886.50,169.62K
Aug 08 2022,23816.30,23175.30,24234.10,23160.60,197.94K
Aug 07 2022,23175.30,22944.20,23387.70,22852.30,99.36K
Aug 06 2022,22944.20,23308.20,23344.40,22923.60,94.44K
Aug 05 2022,23308.20,22613.30,23447.60,22593.50,208.90K
Aug 04 2022,22612.10,22822.20,23214.50,22438.70,181.19K
Aug 03 2022,22820.80,22988.70,23623.70,22698.60,174.66K
Aug 02 2022,22988.60,23271.10,23423.30,22670.80,177.30K
Aug 01 2022,23271.20,23303.40,23484.40,22863.80,162.33K
Jul 31 2022,23303.40,23634.20,24179.30,23236.20,138.84K
Jul 30 2022,23634.20,23774.20,24605.30,23521.80,168.72K
Jul 29 2022,23774.30,23850.20,24340.00,23451.40,221.66K
Jul 28 2022,23850.00,22957.70,24190.50,22611.60,268.32K
Jul 27 2022,22958.30,21248.00,23027.80,21047.50,242.66K
Jul 26 2022,21248.70,21301.60,21322.30,20737.30,201.57K
Jul 25 2022,21301.90,22582.30,22653.30,21275.40,206.93K
Jul 24 2022,22582.10,22449.80,22987.90,22281.30,126.66K
Jul 23 2022,22460.40,22683.60,22991.00,21971.70,137.42K
Jul 22 2022,22675.20,23150.00,23741.40,22524.20,197.54K
Jul 21 2022,23153.00,23219.90,23403.80,22360.20,217.08K
Jul 20 2022,23215.20,23412.00,24258.00,22944.40,281.31K
Jul 19 2022,23410.20,22529.30,23757.30,21581.80,308.91K
Jul 18 2022,22525.80,20785.60,22714.90,20770.60,279.72K
Jul 17 2022,20785.60,21209.80,21654.40,20755.20,132.81K
Jul 16 2022,21209.90,20825.20,21561.30,20484.40,136.89K
Jul 15 2022,20825.10,20586.10,21178.10,20393.40,164.67K
Jul 14 2022,20586.00,20250.00,20862.20,19664.90,205.28K
Jul 13 2022,20250.00,19331.60,20250.80,18942.20,249.38K
Jul 12 2022,19330.90,19963.20,20051.70,19279.60,167.91K
Jul 11 2022,19963.20,20847.20,20855.00,19897.00,160.20K
Jul 10 2022,20847.40,21587.40,21599.20,20689.70,204.68K
Jul 09 2022,21587.50,21610.40,21944.10,21338.40,190.11K
Jul 08 2022,21611.20,21637.10,22482.10,21207.00,439.90K
Jul 07 2022,21637.80,20557.90,21817.80,20282.70,115.81K
Jul 06 2022,20561.10,20180.40,20654.90,19785.30,105.24K
Jul 05 2022,20200.60,20215.80,20706.90,19315.40,122.43K
